"","week_beginning","areauri","region","deaths"
"459",2020-05-18,"S12000048","Perth and Kinross",3
"460",2020-05-18,"S12000023","Orkney Islands",0
"461",2020-05-18,"S08000032","Lanarkshire",30
"462",2020-05-18,"S08000020","Grampian",17
"463",2020-05-18,"S12000013","Na h-Eileanan Siar",0
"464",2020-05-18,"S12000047","Fife",4
"465",2020-05-18,"S08000022","Highland",4
"466",2020-05-18,"S12000010","East Lothian",2
"467",2020-05-18,"S12000008","East Ayrshire",3
"468",2020-05-18,"S12000036","City of Edinburgh",26
"469",2020-05-18,"S08000016","Borders",4
"470",2020-05-18,"S08000030","Tayside",19
"471",2020-05-25,"S12000050","North Lanarkshire",14
"472",2020-05-25,"S12000013","Na h-Eileanan Siar",0
"473",2020-05-25,"S12000049","Glasgow City",13
"474",2020-05-25,"S08000015","Ayrshire and Arran",14
"475",2020-05-25,"S12000014","Falkirk",3
"476",2020-05-25,"S12000028","South Ayrshire",6
"477",2020-05-25,"S12000035","Argyll and Bute",3
"478",2020-05-25,"S12000023","Orkney Islands",0
"479",2020-05-25,"S12000030","Stirling",0
"480",2020-05-25,"S12000039","West Dunbartonshire",5
"481",2020-05-25,"S08000025","Orkney",0
"482",2020-05-25,"S08000017","Dumfries and Galloway",0
"483",2020-05-25,"S12000034","Aberdeenshire",1
"484",2020-05-25,"S08000028","Western Isles",0
"485",2020-05-25,"S08000030","Tayside",13
"486",2020-05-25,"S12000038","Renfrewshire",4
"487",2020-05-25,"S08000022","Highland",4
"488",2020-05-25,"S08000020","Grampian",9
"489",2020-05-25,"S08000026","Shetland",0
"490",2020-05-25,"S12000020","Moray",5
"491",2020-05-25,"S08000019","Forth Valley",3
"492",2020-05-25,"S12000041","Angus",4
"493",2020-05-25,"S92000003","Scotland",131
"494",2020-05-25,"S12000008","East Ayrshire",2
"495",2020-05-25,"S12000036","City of Edinburgh",13
"496",2020-05-25,"S08000016","Borders",4
"497",2020-05-25,"S12000048","Perth and Kinross",1
"498",2020-05-25,"S12000047","Fife",8
"499",2020-05-25,"S12000027","Shetland Islands",0
"500",2020-05-25,"S08000024","Lothian",24
"501",2020-05-25,"S12000011","East Renfrewshire",1
"502",2020-05-25,"S12000045","East Dunbartonshire",6
"503",2020-05-25,"S12000010","East Lothian",1
"504",2020-05-25,"S12000040","West Lothian",6
"505",2020-05-25,"S08000031","Greater Glasgow and Clyde",30
"506",2020-05-25,"S12000017","Highland",1
"507",2020-05-25,"S08000029","Fife",8
"508",2020-05-25,"S12000042","Dundee City",8
"509",2020-05-25,"S12000029","South Lanarkshire",8
"510",2020-05-25,"S08000032","Lanarkshire",22
"511",2020-05-25,"S12000018","Inverclyde",1
"512",2020-05-25,"S12000033","Aberdeen City",3
"513",2020-05-25,"S12000026","Scottish Borders",4
"514",2020-05-25,"S12000021","North Ayrshire",6
"515",2020-05-25,"S12000006","Dumfries and Galloway",0
"516",2020-05-25,"S12000019","Midlothian",4
"517",2020-05-25,"S12000005","Clackmannanshire",0
"518",2020-06-01,"S08000024","Lothian",15
"519",2020-06-01,"S12000026","Scottish Borders",6
"520",2020-06-01,"S12000020","Moray",0
"521",2020-06-01,"S12000014","Falkirk",3
"522",2020-06-01,"S08000016","Borders",6
"523",2020-06-01,"S12000008","East Ayrshire",2
"524",2020-06-01,"S08000031","Greater Glasgow and Clyde",21
"525",2020-06-01,"S12000019","Midlothian",2
"526",2020-06-01,"S08000022","Highland",2
"527",2020-06-01,"S12000029","South Lanarkshire",13
"528",2020-06-01,"S08000030","Tayside",9
"529",2020-06-01,"S08000028","Western Isles",0
"530",2020-06-01,"S12000011","East Renfrewshire",3
"531",2020-06-01,"S12000041","Angus",6
"532",2020-06-01,"S12000038","Renfrewshire",4
"533",2020-06-01,"S12000049","Glasgow City",5
"534",2020-06-01,"S12000018","Inverclyde",2
"535",2020-06-01,"S12000005","Clackmannanshire",0
